startByte;packetNumber;velocity;batteryVoltage;leftDistance;middleDistance;rightDistance;ax;ay;az;gx;gy;gz;servoPulse;escPulse;stopByte
170;1;50.0;0.8383186459541321;0.41540566086769104;0.7006842494010925;1.053528904914856;-0.01904296875;0.023681640625;1.034912109375;-2.541984796524048;0.9923664331436157;-0.6641221642494202;0;1473;85
170;2;0.0;0.8408210873603821;0.34033235907554626;0.39038121700286865;1.0510263442993164;0.012939453125;0.020263671875;1.04541015625;-1.0534350872039795;-0.07633587718009949;-0.06106870248913765;0;1473;85
170;3;0.0;0.8408210873603821;0.37286412715911865;0.38787877559661865;1.0660409927368164;0.025390625;0.02001953125;1.0556640625;-1.0610686540603638;0.2977099120616913;-0.13740457594394684;0;1473;85
170;4;0.0;0.8408210873603821;0.3128054738044739;0.38037145137786865;1.0510263442993164;0.027099609375;0.02099609375;1.05712890625;-1.1526718139648438;-0.25190839171409607;0.030534351244568825;0;1473;85
170;5;0.0;0.8383186459541321;0.2902834713459015;0.38787877559661865;1.063538670539856;0.028076171875;0.019775390625;1.05712890625;-1.1526718139648438;-0.22900763154029846;-0.08396946638822556;0;1473;85
170;6;0.0;0.8433235287666321;0.39788854122161865;0.38287389278411865;1.033509373664856;0.0244140625;0.017822265625;1.0556640625;-1.0152671337127686;-0.1221374049782753;0.19847328960895538;0;1473;85
170;7;0.0;0.8408210873603821;0.3103030323982239;0.39038121700286865;1.058533787727356;0.026611328125;0.020751953125;1.0615234375;-1.0992366075515747;-0.10687022656202316;-0.022900763899087906;0;1473;85
170;8;0.0;0.8408210873603821;0.38037145137786865;0.38537633419036865;1.028504490852356;0.025146484375;0.019775390625;1.056640625;-0.9160305261611938;0.07633587718009949;-0.11450381577014923;0;1473;85
170;9;0.0;0.8408210873603821;0.4329227805137634;0.36285433173179626;1.0310068130493164;0.02685546875;0.025634765625;1.054931640625;-1.160305380821228;0.030534351244568825;0.05343511328101158;0;1473;85
170;10;0.0;0.8408210873603821;0.40039098262786865;0.38787877559661865;1.063538670539856;0.0283203125;0.01953125;1.050537109375;-1.229007601737976;0.015267175622284412;-0.007633587811142206;0;1473;85
170;11;0.0;0.8408210873603821;0.2802737057209015;0.38537633419036865;1.0560312271118164;0.026611328125;0.0205078125;1.04833984375;-1.1145038604736328;0.0;0.19847328960895538;0;1473;85
170;12;0.0;0.8408210873603821;0.2777712643146515;0.38287389278411865;1.053528904914856;0.025146484375;0.01953125;1.057373046875;-0.8702290058135986;-0.12977099418640137;-0.007633587811142206;0;1473;85
170;13;0.0;0.8408210873603821;0.37786900997161865;0.39038121700286865;1.0360116958618164;0.02734375;0.021728515625;1.0537109375;-1.0687023401260376;0.3358778655529022;-0.15267175436019897;0;1473;85
170;14;0.0;0.8408210873603821;0.3128054738044739;0.40039098262786865;1.0660409927368164;0.023193359375;0.022216796875;1.054931640625;-1.1755725145339966;-0.25954198837280273;-0.022900763899087906;0;1473;85
170;15;0.0;0.8408210873603821;0.39538609981536865;0.39038121700286865;1.0510263442993164;0.02392578125;0.022216796875;1.058837890625;-1.14503812789917;-0.2977099120616913;-0.1450381726026535;0;1473;85
170;16;0.0;0.8383186459541321;0.41790810227394104;0.40539589524269104;1.063538670539856;0.029296875;0.016845703125;1.05322265625;-0.9160305261611938;0.007633587811142206;0.10687022656202316;0;1209;85
